id,name,nickname,code,city,logo,allStar,nbaFranchise,leagues
22,Minnesota Timberwolves,Timberwolves,MIN,Minnesota,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Northwest'}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
23,New Orleans Pelicans,Pelicans,NOP,New Orleans,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,False,True,"{'standard': {'conference': 'West', 'division': 'Southwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Southwest'}, 'sacramento': {'conference': 'West', 'division': 'Southwest'}}"
24,New York Knicks,Knicks,NYK,New York,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,False,True,"{'standard': {'conference': 'East', 'division': 'Atlantic'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Atlantic'}, 'sacramento': {'conference': 'East', 'division': 'Atlantic'}}"
25,Oklahoma City Thunder,Thunder,OKC,Oklahoma City,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4f/Thunder_d%27Oklahoma_City_logo.svg/1200px-Thunder_d%27Oklahoma_City_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'Utah', 'division': None}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
26,Orlando Magic,Magic,ORL,Orlando,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,False,True,"{'standard': {'conference': 'East', 'division': 'Southeast'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Southeast'}, 'sacramento': {'conference': 'East', 'division': 'Southeast'}}"
27,Philadelphia 76ers,76ers,PHI,Philadelphia,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,False,True,"{'standard': {'conference': 'East', 'division': 'Atlantic'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'Utah', 'division': None}, 'sacramento': {'conference': 'East', 'division': 'Atlantic'}}"
28,Phoenix Suns,Suns,PHX,Phoenix,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,False,True,"{'standard': {'conference': 'West', 'division': 'Pacific'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Pacific'}, 'sacramento': {'conference': 'West', 'division': 'Pacific'}}"
29,Portland Trail Blazers,Trail Blazers,POR,Portland,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/1200px-Portland_Trail_Blazers_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Northwest'}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
30,Sacramento Kings,Kings,SAC,Sacramento,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Pacific'}, 'sacramento': {'conference': 'California', 'division': None}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Pacific'}}"
31,San Antonio Spurs,Spurs,SAS,San Antonio,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,False,True,"{'standard': {'conference': 'West', 'division': 'Southwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Southwest'}, 'sacramento': {'conference': 'West', 'division': 'Southwest'}}"
37,Home Team Stephen A,Team Stephen A,SAS,Home,,True,True,"{'standard': {'conference': 'East', 'division': 'East'}}"
38,Toronto Raptors,Raptors,TOR,Toronto,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,False,True,"{'standard': {'conference': 'East', 'division': 'Atlantic'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Atlantic'}, 'sacramento': {'conference': 'East', 'division': 'Atlantic'}}"
40,Utah Jazz,Jazz,UTA,Utah,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'Utah', 'division': None}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
41,Washington Wizards,Wizards,WAS,Washington,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,False,True,"{'standard': {'conference': 'East', 'division': 'Southeast'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Southeast'}, 'sacramento': {'conference': 'East', 'division': 'Southeast'}}"
